File Name,Corresponding Data Point,Maximum Subtraction
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_15_13 PM].csv",1.075,0.00011396000000000003
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_15_19 PM].csv",1.1,6.303999999999999e-05
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_15_26 PM].csv",1.05,7.931999999999997e-05
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_15_32 PM].csv",0.975,8.970000000000001e-05
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_15_38 PM].csv",1.0,0.00010288000000000002
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_15_44 PM].csv",0.85,0.00023731999999999998
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_15_50 PM].csv",0.95,0.00030668000000000004
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_15_57 PM].csv",0.925,0.00037768000000000003
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_16_03 PM].csv",0.8,0.000192628
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_16_10 PM].csv",1.0,0.00026318
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_16_16 PM].csv",1.05,0.00024177999999999998
"[B7-01-4um-08,SET-RESET,58,9_4_2024 3_16_22 PM].csv",1.025,0.00031862000000000004
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_19_18 PM].csv",1.3,0.00027424000000000003
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_19_24 PM].csv",0.925,0.00047486399999999997
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_19_31 PM].csv",0.925,9.546000000000001e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_19_38 PM].csv",1.0,0.00012552
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_19_44 PM].csv",0.775,0.000123402
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_19_51 PM].csv",0.9,5.702000000000002e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_19_57 PM].csv",0.8,6.0028e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_20_04 PM].csv",0.925,0.00010514000000000001
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_20_10 PM].csv",0.875,0.0001291
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_20_17 PM].csv",0.825,0.000110772
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_20_23 PM].csv",0.7,5.8411999999999996e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_20_30 PM].csv",0.8,8.7286e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_20_36 PM].csv",0.725,5.6903999999999996e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_20_42 PM].csv",1.1,9.894e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_20_49 PM].csv",1.025,9.536000000000001e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_20_55 PM].csv",0.85,7.5436e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_21_01 PM].csv",1.0,7.81e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_21_07 PM].csv",1.025,7.112000000000004e-05
"[B7-01-4um-10,SET-RESET,60,9_4_2024 3_21_14 PM].csv",0.95,6.624000000000002e-05
