condition,device_id,total_cycles,good_cycles
S4,D1-02-4um-04,20,20
S4,D1-02-4um-05,20,20
S5,A8-04-4um-01,9,9
S5,A8-04-4um-03,20,20
S5,A8-04-4um-04,20,20
S5,A8-04-4um-05,20,20
S5,A8-04-4um-06,20,20
S5,A8-04-4um-07,20,20
S5,A8-04-4um-08,20,20
S5,A8-04-4um-09,20,20
S5,A8-04-4um-10,20,20
S5,A8-04-4um-11,20,20
S5,A8-04-4um-12,20,20
S5,B6-01-4um-01,20,20
S5,B6-01-4um-02,20,20
S5,B6-01-4um-03,20,20
S5,B6-01-4um-04,20,20
S5,B6-01-4um-05,20,20
S5,B6-01-4um-06,20,20
S5,B6-01-4um-07,20,20
S5,B6-01-4um-08,20,20
S5,B6-01-4um-09,20,20
S5,B6-01-4um-10,20,20
S5,C3-02-4um-01,20,20
S5,C3-02-4um-02,20,20
S5,C3-02-4um-03,20,20
S5,C3-02-4um-04,20,20
S5,C3-02-4um-05,20,20
S5,C3-02-4um-06,20,20
S5,C3-02-4um-07,20,20
S5,C3-02-4um-08,20,20
S5,C3-02-4um-09,20,20
S5,C3-02-4um-10,20,20
S5,C3-02-4um-11,20,20
S5,C3-02-4um-12,20,20
S5,D2-01-4um-01,20,20
S5,D2-01-4um-02,20,20
S5,D2-01-4um-03,9,9
S5,D2-01-4um-04,11,11
S5,D2-01-4um-07,20,20
S5,D2-01-4um-08,18,18
S5,D2-01-4um-09,20,20
S5,D2-01-4um-10,20,20
S5,D2-01-4um-11,20,20
S5,D2-01-4um-12,20,20
S6,A8-02-4um-01,20,20
S6,A8-02-4um-03,20,20
S6,A8-02-4um-04,20,20
S6,A8-02-4um-06,4,4
S6,A8-02-4um-07,20,20
S6,A8-02-4um-08,20,20
S6,A8-02-4um-09,20,20
S6,A8-02-4um-10,20,20
S6,B3-01-4um-01,1,1
S6,B3-01-4um-03,20,20
S6,B3-01-4um-04,20,20
S6,B3-01-4um-06,20,20
S6,B6-01-4um-01,20,20
S6,B6-01-4um-02,1,1
S6,B6-01-4um-05,20,20
S6,B6-01-4um-10,20,20
